type,K,T,r,price,sigma_080_1m,sigma_080_3m,sigma_080_6m,sigma_080_9m,sigma_080_12m,sigma_090_1m,sigma_090_3m,sigma_090_6m,sigma_090_9m,sigma_090_12m,sigma_100_1m,sigma_100_3m,sigma_100_6m,sigma_100_9m,sigma_100_12m,sigma_110_1m,sigma_110_3m,sigma_110_6m,sigma_110_9m,sigma_110_12m,sigma_120_1m,sigma_120_3m,sigma_120_6m,sigma_120_9m,sigma_120_12m
asian,110,1.0,0.02,2.6485230371406216,0.5335456547022617,0.30437919562971266,0.2113343947920596,0.16936577488505622,0.1439064896514174,0.5317425467770192,0.3014965631473799,0.20731227012664855,0.1644301282417712,0.13817171512986218,0.579563888636186,0.32552398944772,0.22034414224964205,0.1716604481800499,0.14129805768367396,0.644333578173842,0.3569729417802825,0.23557920422939463,0.17745495969766226,0.13934978768012585,0.7356683300043794,0.4014867063788542,0.25619641286767664,0.1813965131152028,0.12025582384503838
asian,85,1.0,0.02,16.80721946079631,0.4460313968801024,0.25429654861720613,0.17639291326576903,0.14122378620535575,0.11987231162675964,0.301528366866166,0.17002460934707003,0.11588911449102683,0.09105398368594578,0.07573804725366452,0.3641255477129767,0.20128166621254012,0.13249681443905637,0.0997456662409056,0.07861091835224512,0.530956425949938,0.28968480583910855,0.1852499888124169,0.1326511939160777,0.09405886480247636,0.7161656679461981,0.389518957096254,0.2465262205101804,0.17129982490642523,0.09980119392842626
asian,85,1.0,0.02,17.1842514427379,0.6189148758687592,0.3532785308857797,0.24549800017552162,0.19692116627690145,0.16747512862492353,0.6029058227217357,0.3422633906750435,0.23579919272198485,0.18741092447925015,0.15783168380315948,0.6147223157933833,0.3457930404951552,0.23465796022944632,0.18334822637845338,0.15143825200574224,0.6653945290069553,0.3693657232347648,0.24467034560917264,0.1852686583241629,0.14664743973709465,0.7444575905513339,0.4068561346502474,0.2604824506539938,0.18572507930558227,0.12686184583312027
asian,90,1.0,0.02,12.99869184042607,0.30958752102038944,0.17632567961215934,0.12211634120094167,0.09761000767189286,0.08271294108404552,0.4300303783241784,0.2433148426925669,0.16674964612067214,0.13178608945809436,0.11031590815761866,0.538127445620805,0.30163391453550126,0.20346895320688402,0.15787443066401818,0.12932730313757956,0.6342932939399766,0.3510560482566694,0.23122459120739255,0.1736924356244068,0.13580199089239287,0.728372111823307,0.3970184474234766,0.2526060972025669,0.1777062625358035,0.11392335014896197
asian,95,1.0,0.02,10.017825738596745,0.40529656476525533,0.2310030552993251,0.16016122839344712,0.1281669939072182,0.10873563006092567,0.48947518881014457,0.27730460182789496,0.19043112974734727,0.1508313644046934,0.1265558602762781,0.5980647817626322,0.3361900210267987,0.22787676631281414,0.17781170805615387,0.14663569110171515,0.7066817962643396,0.3935970366473617,0.2623495762163694,0.20033393284754594,0.16051185949163807,0.813189472970844,0.4484390703030635,0.2928639958410533,0.21662070680284642,0.16394537085235406
asian,85,1.0,0.02,17.543092903751553,0.6552427414218769,0.3740989638181837,0.26005653294582826,0.20867389188177352,0.1775365244138388,0.6578590895303487,0.37376982268033504,0.2578426821648127,0.20521740257171253,0.17308599918380882,0.6795304951999319,0.38315247049657125,0.2610339710309916,0.2048745441594197,0.17009866243675734,0.7224036740901786,0.40280556472974427,0.2690397704175516,0.2059989838452365,0.1656717057382677,0.7881886704124428,0.43338682907895043,0.28128262246390756,0.2058567478609342,0.15216213316932978
asian,80,1.0,0.02,22.178641997072432,0.5444906794223058,0.31064616345531626,0.21571040037128952,0.17289325902379596,0.14692180667648774,0.5559355983085862,0.3153514644235992,0.21698843995661404,0.17223156876431914,0.1448420689828048,0.6290071285654861,0.35402798891619847,0.24047259743743035,0.1880948308312643,0.15555449239973626,0.7197835439460539,0.4012715379108895,0.2679261466172015,0.20505718138238,0.1648156608648147,0.8343492499457619,0.4611258504883707,0.3025300612289071,0.22543571051437986,0.1731378248149843
asian,80,1.0,0.02,21.71787609159317,0.5148262472469709,0.2936622481453856,0.20385307400467917,0.16333651138015773,0.13875397723774982,0.5407782821261748,0.3066704552199761,0.21092508448925104,0.16734214914876355,0.14066125837695703,0.5855930248130595,0.32899991197544787,0.22279902236867205,0.17366543983069574,0.14303794544845405,0.665242914991082,0.3692765945313003,0.244605093839916,0.1852127563044383,0.14659552516692909,0.76602748468358,0.4199776966498219,0.2708405956467216,0.19590602247474626,0.14041408959112067
asian,105,1.0,0.02,3.5467994631270083,0.39282102358279214,0.22387168333652468,0.15519462700474274,0.1241741945015943,0.10533184510464802,0.43579531125074106,0.2466091914054648,0.16904274774669084,0.13362846663039624,0.11188530755498793,0.5313551018121424,0.297729138236198,0.2007102387072116,0.155619904536558,0.12736838938670542,0.6304455177789962,0.3487868389944291,0.22955189540816134,0.17224336488784156,0.13442891444677801,0.7186597681967367,0.39105377419123283,0.24777639471906102,0.17263497880886852,0.10328577568931788
asian,80,1.0,0.02,21.45706675270088,0.5735025549368707,0.32726143446194134,0.22731572007761452,0.18225153968408267,0.15492379531287764,0.5474204656003203,0.31047432447605566,0.21358170502809193,0.16948420519278196,0.14249265870570885,0.5615394093369642,0.31513226731200344,0.21300437704701056,0.16566529765802024,0.1360938214100083,0.627877088617483,0.3472715886411501,0.22843411070768002,0.17127377297735769,0.1335079437242197,0.7258272246597315,0.39545749076067765,0.25134640711094863,0.17639617019673115,0.11144887060893256
