type,K,T,r,price,sigma_080_1m,sigma_080_3m,sigma_080_6m,sigma_080_9m,sigma_080_12m,sigma_090_1m,sigma_090_3m,sigma_090_6m,sigma_090_9m,sigma_090_12m,sigma_100_1m,sigma_100_3m,sigma_100_6m,sigma_100_9m,sigma_100_12m,sigma_110_1m,sigma_110_3m,sigma_110_6m,sigma_110_9m,sigma_110_12m,sigma_120_1m,sigma_120_3m,sigma_120_6m,sigma_120_9m,sigma_120_12m
asian,110,0.5,0.02,1.5627316855154265,0.47534132678813434,0.271064345549796,0.1880854959034601,0.1506359150204708,0.12790603366138764,0.4122948968189055,0.23318277940105592,0.1597003642693788,0.12612497111640011,0.10549623916734699,0.49240938307655113,0.2752726904066809,0.18484152308559187,0.1426460177335131,0.11608724144116131,0.6086243136950258,0.3358989914644435,0.22002124286443103,0.16394186869590563,0.1264782518743649,0.7371769446606834,0.40240933193588463,0.2569350003810467,0.18214780765093228,0.12145601775097804
asian,105,1.0,0.02,4.893810544633696,0.5746582983459978,0.32792367413372575,0.2277783907521112,0.1826246403901323,0.15524296255736217,0.5811559855953093,0.32979943043855303,0.22708493723745346,0.18037704707752286,0.15181074018388627,0.6270499201737931,0.3528997027396396,0.23967594832971575,0.18744455000963448,0.15499062882975803,0.684722560582912,0.38071879556166194,0.2529679048691323,0.1923583556844608,0.15320128873047095,0.7692852624164258,0.42195322994055784,0.272387366101124,0.19739755997513678,0.1422468668071237
asian,80,1.0,0.02,21.307089451189384,0.5493757302457882,0.31344355127522444,0.21766393065796283,0.1744682073381016,0.14826849542043377,0.5833475959822852,0.3310552069093928,0.22796273408442613,0.1810854376262776,0.15241708613910077,0.6181637138933674,0.3477769639944043,0.23605883426772098,0.18449185027198162,0.1524300901412146,0.6631520667932861,0.36804733609667695,0.2437049594504123,0.18444134771819914,0.1458787295448107,0.7227494589803836,0.3935679338943054,0.24981758024946102,0.17479458571613696,0.10819991328877113
asian,110,1.0,0.02,3.47182250452033,0.5938493363641574,0.33891704831922326,0.23545992765378737,0.18882101228048354,0.16054362671033873,0.6136546004842288,0.3484246066525508,0.24010785425778836,0.19089021432274664,0.16081108384542447,0.6556657435337813,0.3693957520490859,0.25132255566505435,0.1969501549392892,0.1632313175305477,0.7236105857434236,0.4035120996632756,0.2695525561511003,0.2064324985198731,0.16606556952422874,0.8221506296133326,0.4538173577690075,0.2969714890965852,0.22038308141624494,0.16790989669094225
asian,105,1.0,0.02,4.8667474701896705,0.6127051504323833,0.3497203685727463,0.2430107605408351,0.1949137200089596,0.1657570838850503,0.5865590535419161,0.3328954133813896,0.2292491253147403,0.18212362857686948,0.1533057505838533,0.6267037252136367,0.3527001288600011,0.23953503435602885,0.18732952486418866,0.15489088775928864,0.683093050754397,0.3797623193028362,0.2522698846627366,0.1917633205369011,0.15265338368682171,0.7384019776049446,0.4031582171112156,0.2575338347804068,0.18275548963901897,0.12240822819214746
asian,80,0.5,0.02,21.73306054142645,0.49279139670737704,0.28105006841848557,0.1950516003973081,0.15624592269831453,0.13269673349034905,0.42298605791490895,0.23929004845401278,0.16394880040780882,0.12953633141162438,0.1083999749426335,0.4526031078125701,0.25231746700057567,0.16861356457282325,0.1293667057369673,0.10452197838672682,0.5531664043028834,0.30296697237646725,0.1953645638922933,0.1419738139818865,0.1043520985001614,0.7121361050686572,0.38703636273563335,0.2444977089475235,0.16911057063009527,0.09280747258767508
asian,105,1.0,0.02,4.244782021386775,0.5263040250634019,0.30023304534298395,0.20843977157347315,0.16703285415044755,0.14191229223480628,0.5335657271799114,0.3025404621672049,0.20804113659265547,0.16501766660723008,0.13867387012130503,0.5699975270297971,0.320008703100718,0.21644875834821362,0.16847886176005875,0.13853647319478182,0.6330382490869462,0.35031599448645134,0.23067924335255988,0.1732202372108997,0.13535498493461753,0.712249031371559,0.38710598807564345,0.24455472293410105,0.1691724710296597,0.09303809687263499
asian,100,1.0,0.02,5.424586108443677,0.48380235650143405,0.27590587874382866,0.19146277566052655,0.15335545434409595,0.13022820252048517,0.4219818166764353,0.2387163347778261,0.16354961943535318,0.12921574269855765,0.10812699839817111,0.4732401014933343,0.26421863475294877,0.1770281451092037,0.13625386857752247,0.11052288968052101,0.5868812072330993,0.3230213562563038,0.21043874036951565,0.15550275355761742,0.11821038133710764,0.7356986784365337,0.40150527079228937,0.2562112832555723,0.18141167532896182,0.12028028304809017
asian,120,0.75,0.02,1.2648680161746324,0.5917147395677438,0.33769415502733124,0.23460533962502664,0.18813154678462446,0.15995372773035146,0.5639456071019653,0.31993928002277766,0.2201940886503442,0.17481726140052997,0.14705396308603433,0.5877179744153883,0.33022498063476924,0.22366420834778983,0.17437173959720115,0.1436510596213206,0.6519551204675726,0.3614604628309532,0.23887557728406864,0.1802942482452828,0.14201184140781029,0.7402617902377483,0.40429463001868504,0.25844130305660185,0.18367346195854617,0.12381855147631332
asian,85,1.0,0.02,16.90260089741436,0.5779589982396037,0.3298142433445758,0.22909926557077537,0.1836899374044245,0.15615421661698442,0.5692885493178453,0.32300011038051785,0.2223328900333749,0.17654269357738556,0.14852994838048275,0.5847472166626485,0.3285122882610866,0.22245464239326065,0.17338409899844137,0.14279388856206887,0.6262300435715055,0.3462996831025412,0.2277167785640535,0.17065100207022757,0.13291542784777866,0.7068434745781947,0.383769872809574,0.24181503346423747,0.16617012673444786,0.07482514198270104
asian,85,1.0,0.02,17.587097268977903,0.6772458529234061,0.38671221425285274,0.2688796244643316,0.21579928188450814,0.1836389439486629,0.6535699022435636,0.3713100168067054,0.2561209087112184,0.20382595321738195,0.17189341503715433,0.6709549102473257,0.37820916653722414,0.257544409708033,0.20202727979958512,0.1676312477933778,0.7198382575956389,0.4013035741002552,0.2679494069635965,0.2050768575872335,0.16483355193395022,0.7950752334350701,0.43754048804125983,0.2844922249483433,0.20886491825272546,0.15553248667912672
asian,110,1.0,0.02,2.876171410519805,0.5725393443701141,0.326709769969865,0.22693030717735319,0.18194026894320722,0.1546579328660811,0.5575338533669612,0.31626644271319704,0.21762799346818748,0.1727473977083558,0.14528317767937662,0.5772577244678279,0.3241944276285739,0.2194051103495819,0.17089352221108103,0.14063242757675665,0.6292347809020402,0.3480726156865025,0.2290251064023948,0.17178654261453152,0.1339952272557739,0.7149675660324725,0.3887811916477019,0.2459246355069918,0.17065313707125576,0.09793863214566527
asian,105,0.75,0.02,3.7396931764783203,0.4385097830342463,0.24999462201447475,0.17339433813115954,0.1388108913334553,0.11781337925140328,0.4646171457529413,0.26308592246538054,0.18051884728815004,0.14285480374747345,0.11975001561353492,0.5406139147909632,0.3030675400746336,0.20448176779605023,0.15870207846517187,0.13004633398534723,0.6497175770479067,0.360143352985764,0.23790861424774093,0.17946212198157027,0.1412328924629079,0.7689944543421726,0.4217769462029134,0.27224946675841266,0.19726485384244125,0.1420850267026119
asian,80,0.75,0.02,21.4291750551669,0.5472467056588289,0.3122243665578247,0.21681250395373247,0.17378176643593465,0.14768139456948276,0.5498991315328465,0.311893954833809,0.21457325451057413,0.17028378474750275,0.14317636608051346,0.5676472026929401,0.3186536572440032,0.215491666687403,0.1676970880842532,0.13785780975554968,0.6201471536753886,0.342708647393569,0.22506378852348066,0.16834442572339067,0.1307134910489118,0.7074506220561896,0.38414492170170533,0.24212384679815965,0.16651144948240865,0.07855386323994909
asian,105,0.75,0.02,3.6424145324185613,0.5100123280983632,0.29090662058894856,0.20192984068178782,0.16178682227958385,0.13742986992842532,0.47689296325743935,0.27010666690789015,0.1854122193311222,0.14679181215334489,0.12310856402424727,0.5157512067051698,0.2887320590611867,0.19435321713680412,0.15042370156074808,0.1228519608322734,0.6118017625778801,0.3377777362700838,0.22141404662183545,0.1651602452475878,0.12765505647683345,0.7655625637848943,0.4196956370938117,0.2706195009947125,0.19569227299109268,0.1401489371968858
asian,95,1.0,0.02,10.23759191619738,0.5517124101021512,0.3147816754978754,0.21859845541748424,0.17522167108506853,0.14891235752157655,0.5590050912589102,0.317109182681861,0.21821675416051337,0.1732222768105033,0.14568929119882912,0.6309504801265781,0.35514828363991247,0.24126359618937307,0.18874048729674095,0.1561143285204891,0.7235499127679724,0.4034765825207317,0.269526780500584,0.20641070978650455,0.1660457769930544,0.8241357069460313,0.45500760285472697,0.2978785416981585,0.22121051525425836,0.1687731796116436
asian,95,1.0,0.02,8.604786758278673,0.5038231888204221,0.28736399262500456,0.19945723454173903,0.15979484673577266,0.13572823551563926,0.45507857881376856,0.2576318451766185,0.17671875530637327,0.13979849101187378,0.1171438880126122,0.48007899574618795,0.2681623878590081,0.1798157753389806,0.13853488919453302,0.11250904887229245,0.5729978991217329,0.3147775721295082,0.20426669071984813,0.1500066862610756,0.11269005571020094,0.727862457479532,0.39670594434478085,0.25235413964008857,0.1774448931729234,0.11344090219150382
asian,115,1.0,0.02,2.003620940040734,0.6200406235905285,0.3539236545681662,0.24594898987710082,0.19728502200429196,0.16778664802782034,0.5676262860411363,0.32204782030795764,0.22166743474267528,0.17600582932520684,0.14807067328792803,0.5872911870318847,0.32997893100911935,0.22349044048542213,0.17422978421628962,0.14352792243337717,0.6629530517544281,0.36793031877074883,0.24361925444098662,0.1843678744718265,0.14581041757455823,0.7602604295125844,0.416476585205534,0.2680916328751764,0.19323819159588213,0.13705538474988535
