type,K,T,r,price,sigma_080_1m,sigma_080_3m,sigma_080_6m,sigma_080_9m,sigma_080_12m,sigma_090_1m,sigma_090_3m,sigma_090_6m,sigma_090_9m,sigma_090_12m,sigma_100_1m,sigma_100_3m,sigma_100_6m,sigma_100_9m,sigma_100_12m,sigma_110_1m,sigma_110_3m,sigma_110_6m,sigma_110_9m,sigma_110_12m,sigma_120_1m,sigma_120_3m,sigma_120_6m,sigma_120_9m,sigma_120_12m,barrier
barrier,110,0.5,0.02,1.3169815750788807,0.28165361463767974,0.1603824091262211,0.11103892293476367,0.08872609690882809,0.07515909358891434,0.3762135122512776,0.2125847651689765,0.14538485648636362,0.1146427360508583,0.09573262650147472,0.5026580043960682,0.2811823560124384,0.18901815878656622,0.14606167830282715,0.11905876379473075,0.623463902117837,0.3446670023800519,0.2265110907304608,0.1696032757321525,0.13191682977044555,0.7361958183474921,0.40180935132278506,0.25645480342923205,0.18165982067112837,0.12067907435228768,141.83897744700786
barrier,110,1.0,0.02,2.96647733147877,0.5215221359895728,0.2974954109558099,0.2065286706300095,0.16549240362247833,0.14059633762323726,0.5620922125284328,0.31887757016260826,0.2194522651239317,0.1742188603262792,0.14654163107668164,0.628871509686595,0.3539498078213104,0.24041739636173126,0.1880497722424944,0.15551542232311386,0.7075531144213054,0.3941076213265362,0.26272092725071994,0.20064885134775162,0.16079933436531652,0.7844177116660549,0.4311098334609383,0.279518453401099,0.20419385685475208,0.15026799485602302,153.61579723814336
barrier,115,1.0,0.02,1.3475863651003779,0.4343581776205998,0.24762008748398134,0.1717394260054594,0.13747932584903896,0.1166774122012741,0.5425190349585158,0.30766730092948796,0.211621251797933,0.16790344301645138,0.14114111553774472,0.6707796520359799,0.37810814024945677,0.2574730922510374,0.20196908723378543,0.16758077632350243,0.7713170214194557,0.43140078806958937,0.2897385654778929,0.2234300265232165,0.18141262516271434,0.8581295236637589,0.4753331034334408,0.313268476199234,0.2350874016183987,0.1828782022315947,152.71905086122396
barrier,120,0.75,0.02,1.6861697266892115,0.6190088091873951,0.35333236059784845,0.24553563176225943,0.19695152481674918,0.1675011213854462,0.6620242567650443,0.37615860970721376,0.2595148578192562,0.2065688663611183,0.17424439901091643,0.6928841413206878,0.3908499299530886,0.2664674955803263,0.20930759779804375,0.1739394881987456,0.7110359110391175,0.39614821297911834,0.2642046176945197,0.20190650924499742,0.1619465860058406,0.7267977706108103,0.3960529470407816,0.2518272829219149,0.1768972803767174,0.11241227381253362,161.0157292066942
barrier,115,0.75,0.02,2.2241891223192747,0.5509438436537725,0.31434154457111274,0.21829107105117065,0.17497383827105698,0.1487004262665586,0.6226238736975865,0.35356620720774484,0.24370451204443366,0.19379482019601108,0.1632987206665253,0.6786384560892387,0.38263826665318273,0.26067099165863405,0.20457838432928657,0.16984204564051147,0.731590596007368,0.40818234705855183,0.2729402213586643,0.20929411158959277,0.16866154790773155,0.781287629165219,0.42921840131822214,0.2780503416004894,0.20280471175165274,0.14866702310226892,145.25160722132986
barrier,120,0.75,0.02,1.1225239712241681,0.5269694602629345,0.3006140185017079,0.20870573547277682,0.16724718894506674,0.14209591238637534,0.5903771464472994,0.3350833297807882,0.2307786945112982,0.18335817109370722,0.15436203416739822,0.6425554178620139,0.3618381796288894,0.2459869261692825,0.1925956824618571,0.1594567377398274,0.6915354820554629,0.3847165047682049,0.2558834294331235,0.1948411882554712,0.15548357376294542,0.7338555055711724,0.4003774710636783,0.2553072148225624,0.18048823184806956,0.11876974695609373,148.19827878496244
barrier,90,1.0,0.02,13.847289008394835,0.38583593700586044,0.21987930371688902,0.1524147653361157,0.1219397580156478,0.10342755169508473,0.5254715353040443,0.29790620453484473,0.20480568152302323,0.16240980650339631,0.13644517595730304,0.6364691538579101,0.3583296465492082,0.24350979717681268,0.19057389456226068,0.15770394606850752,0.727251147374898,0.40564299324184905,0.27109864818704965,0.20773900788678096,0.1672517490565026,0.8031958338438169,0.44243113305963505,0.28825726010875463,0.21236870612315595,0.1593775456732346,132.81677475916078
barrier,115,1.0,0.02,3.904087088833501,0.7230540540921574,0.4129787137466604,0.2872606099403073,0.23064941475385006,0.19636217584183882,0.7986570263843602,0.45456889345949614,0.3144562216360333,0.25101791935080164,0.21238355303988646,0.8699042163160576,0.49287959336538295,0.3384667473950883,0.26801762274795937,0.22476197991273358,0.9316133656632517,0.5247179198613868,0.3567378542925785,0.2792160024249445,0.23096890348371746,0.9823875448221794,0.5489383703521031,0.367893451626677,0.2827186924796231,0.22824782726237108,160.3291170845024
barrier,115,0.5,0.02,1.434098957350818,0.4876258725317274,0.27809391053978466,0.19298910273745862,0.1545847720029327,0.13127801904307507,0.5155931498428515,0.29225126655703654,0.20085853436006207,0.15922930140790412,0.1337276137510522,0.5734634057546968,0.32200689472013166,0.21786008687402042,0.1696316215334207,0.1395371253830221,0.6520488624818266,0.3615156371092892,0.23891607418827515,0.1803290847689023,0.1420444315179385,0.7198339547547884,0.39177619101209465,0.2483637474280414,0.17325923955848202,0.10478314359585542,146.39260462458668
barrier,105,0.75,0.02,4.676898104946118,0.4060072365617714,0.23140933172520123,0.16044421690696162,0.12839456499542568,0.10892963077242417,0.5261649218329443,0.29830317275463336,0.2050828030446827,0.16263313658682935,0.1366360278629017,0.6299536693590237,0.35457364698164423,0.24085786742633544,0.18840931078205386,0.15582717401067528,0.7372181262592996,0.4114739939059759,0.2753263436194907,0.21130733748039623,0.17048486830638393,0.8521769452654984,0.47178137767457784,0.3105917977987367,0.23269373145181027,0.18048897033725253,136.4212019395185
barrier,110,0.75,0.02,2.76520784156226,0.49632783924910384,0.28307402624931,0.19646380140349032,0.15738342133352093,0.13366829891966392,0.5393087384626901,0.3058289391452908,0.2103374177075173,0.16686835272024203,0.140256223123219,0.6075331939012393,0.3416485651638285,0.23173140770191944,0.180958959830057,0.14936590272142994,0.6905110992749254,0.38411554425176286,0.25544534576873945,0.1944683767661107,0.1551412666106083,0.7729422950296352,0.4241690228544146,0.2741186515848735,0.19905932105573593,0.14425495718730694,150.95549663866953
barrier,120,0.5,0.02,1.3650373430729639,0.5898280097361002,0.336613278592558,0.2338500246767359,0.18752218859592582,0.15943235553384935,0.595864821958064,0.3382281426712808,0.23297743865456466,0.18513299138394165,0.15588140644252327,0.6393290241145551,0.3599782725296466,0.24467378537718537,0.19152393469625473,0.1585276048497766,0.69021201387429,0.3839400753454891,0.25531742084551196,0.19435949513991616,0.1550412683456387,0.7531801003063361,0.4121714923486767,0.2646968184122903,0.1899111166195204,0.13269544922383952,164.39269057293183
barrier,115,0.5,0.02,1.7925640933556133,0.5078277626554445,0.28965615997221617,0.20105718682358828,0.1610836725300857,0.1368290727510889,0.571248022877099,0.3241226956833821,0.22311737903059858,0.1771756156369843,0.14907142732612652,0.6438778545221633,0.36260051722752656,0.24652514966334205,0.19303495598577766,0.15983754518522708,0.7154915713687475,0.39875813336418714,0.2661007479010625,0.20351241762231703,0.16341014059073086,0.788884473936016,0.43380677227462483,0.28160761068571816,0.20616234268487563,0.15250766609726352,153.3479914111924
barrier,115,0.75,0.02,2.3104230738072418,0.5924817008710295,0.33813353789710765,0.2349123880855214,0.18837926543344416,0.16016567362630946,0.621343016814685,0.3528319266241732,0.24319083304824876,0.19337994856294075,0.16294336784781294,0.6677031954001333,0.3763347360069233,0.2562211848868778,0.20094756125424246,0.1666957731109549,0.7275960422508945,0.4058448426138996,0.2712450668075068,0.20786269336558094,0.16736397947640605,0.7997259110331358,0.44034232735289214,0.28665076900246966,0.21087726050933517,0.1577505297953454,155.01140372853274
barrier,115,0.75,0.02,1.602790622540157,0.4371197918421965,0.24919972405513696,0.17284023786426062,0.13836520863949098,0.11743301127931718,0.5638080096514161,0.3198604569601821,0.2201390133536144,0.17477283336124655,0.14701596127278288,0.6593838200802091,0.37153904771411594,0.2528356595038492,0.1981849284777189,0.16430152634656509,0.718108305564116,0.40029059067648215,0.2672138375610556,0.20445453238374237,0.1642675479840891,0.7477966380120339,0.4088923922028887,0.26210010002661105,0.18733947673425355,0.12916534303242624,135.71659670347967
barrier,90,0.5,0.02,13.596108374415023,0.4445698207231089,0.253460562808344,0.17581053976612315,0.14075521784639805,0.11947213866609477,0.5343008637370136,0.30296138822290897,0.20833504306395642,0.16525459096440206,0.1388763720139004,0.6063691794247029,0.34097751490278205,0.23125754568151444,0.18057207691032237,0.14903031142237436,0.6855506922080986,0.3812048394696662,0.25332254200130644,0.19266057864288397,0.15347943301696404,0.7791760492563433,0.42794168568455004,0.27705796105958314,0.20186285823420977,0.14757146973461743,137.13417469816056
barrier,115,0.5,0.02,2.0451942615447245,0.5377573551258062,0.3067905022892892,0.21301815394388118,0.17072296639347828,0.14506656012763827,0.5968620324661813,0.3387996273383093,0.2333770271436433,0.18545556000507454,0.15615756253981594,0.6609907704565562,0.3724653754154306,0.25348961192808367,0.19871857676933818,0.1647640356371541,0.7155531328841085,0.3987941890663974,0.2661269410179285,0.20353459283431538,0.16343032976557748,0.7444758753751965,0.40686729058552734,0.2604913240743642,0.1857339634058259,0.1268747275545941,152.55476923151656
barrier,115,1.0,0.02,2.856272020450527,0.6095690268101771,0.34792335170414834,0.24175455647795072,0.1939000237964627,0.16488963753315378,0.6922614527351915,0.3935030833673656,0.2716593751791652,0.21638666764449987,0.18266230470566094,0.7505744350770165,0.4241030430294346,0.2899373345420951,0.22845142622568812,0.19051948652979522,0.7881409817406281,0.44122008843398686,0.2968232019295459,0.22936856615937673,0.1867381130061556,0.7968894516912585,0.4386337900038689,0.2853352825666223,0.20965202055487425,0.15640297551443977,149.73322156067084
barrier,80,0.5,0.02,21.584424614944744,0.37983937138947954,0.216452198051856,0.15002885219533119,0.12002223237560208,0.10179337214186676,0.401759965695995,0.2271663424477336,0.1555166697998378,0.12276742181551062,0.10263936088659455,0.4956697516570718,0.277152735818052,0.18617031338122858,0.14373276422942455,0.11703280651196399,0.6058111980587957,0.3342350311007193,0.2187866111177893,0.16286023948496584,0.12543033067688322,0.7185351274892225,0.3909771045811014,0.24771401881559246,0.17256861984710706,0.10312208118452626,138.27727387426592
