type,K,T,r,price,sigma_080_1m,sigma_080_3m,sigma_080_6m,sigma_080_9m,sigma_080_12m,sigma_090_1m,sigma_090_3m,sigma_090_6m,sigma_090_9m,sigma_090_12m,sigma_100_1m,sigma_100_3m,sigma_100_6m,sigma_100_9m,sigma_100_12m,sigma_110_1m,sigma_110_3m,sigma_110_6m,sigma_110_9m,sigma_110_12m,sigma_120_1m,sigma_120_3m,sigma_120_6m,sigma_120_9m,sigma_120_12m
lookback,105,0.0833333333333333,0.02,1.2092240198862998,0.3784663048091421,0.2156675066129515,0.1494826076330231,0.1195832539629235,0.1014194677004615,0.2400326812577802,0.1350782621327403,0.0917769169846778,0.071862102581103,0.0595525377811822,0.3583494891348768,0.1979490052149803,0.1301358618855473,0.0978045845377133,0.076904410459641,0.7123700784164132,0.3969297856285086,0.2647722048495159,0.2023878165922331,0.1623853045478287,0.9864292284706536,0.5513189506607074,0.3696396053173387,0.2842139018381787,0.2296282677891644
lookback,105,0.0833333333333333,0.02,1.0074359628874283,0.3759371993648973,0.214222181738634,0.1484765279419492,0.1187747662798139,0.1007307489212614,0.2414399570905249,0.1358768689611366,0.0923265474759392,0.0722984288677389,0.0599195502397002,0.3356388255562854,0.1848440635530759,0.1208477250204076,0.0901599771033607,0.0701678075877931,0.685534514686039,0.3811953449142903,0.2533156148387678,0.1926546758776725,0.1534740014377082,0.955306091159324,0.5329687332832806,0.3561525809990193,0.2726307129951457,0.2188835823821578
lookback,105,0.0833333333333333,0.02,1.122480055607169,0.3035479769624071,0.1728780023701471,0.1197202420770558,0.0956878793304228,0.0810780600543442,0.2185185085119451,0.1228788481590623,0.0833880205686982,0.0652091715843828,0.0539637675890277,0.3462131452925933,0.1909461477600384,0.1251734683479809,0.0937220353335491,0.0733101680625646,0.69805827802491,0.3885420909236561,0.2586706164590755,0.1972110354558452,0.1576564216775957,0.9698490509684694,0.5415486605624724,0.362466593491256,0.2780635440840497,0.2239380632588637
lookback,85,0.25,0.02,18.846879338316853,0.3299734769487217,0.1879653530013924,0.1302083314979604,0.1041035153586007,0.088237824607152,0.2052052707880623,0.1153372371147569,0.0782107369860753,0.0611104608834974,0.0505270693369879,0.3347952259875112,0.1843572274751388,0.1205025369025703,0.0898755860150538,0.0699166408728716,0.6845331227814578,0.3806076070963486,0.2528867707447638,0.1922892042845335,0.1531376334712651,0.9541418259227098,0.5322814195470345,0.3556461427631811,0.2721941272023848,0.2184761583724369
lookback,80,0.0833333333333333,0.02,24.113841752259084,0.380486945776012,0.2168222831914731,0.1502864847368319,0.1202292774192008,0.1019702083991345,0.2338868227276522,0.1315919767437952,0.0893777708254117,0.0699579706432172,0.0579517439203249,0.3532757481796629,0.1950214548241885,0.1280615626209389,0.0960985205969492,0.0754032790721276,0.7063946380514796,0.3934287579359722,0.2622271763583022,0.2002301210234558,0.1604170763827365,0.9795116607424276,0.5472440351502856,0.3666500462368093,0.2816532130707354,0.2272630218522977
lookback,80,0.0833333333333333,0.02,23.54958785700862,0.3666178883738895,0.2088972578569236,0.1447700956404677,0.1157970298747766,0.0981938267083484,0.2258839722283102,0.1270537130490134,0.0862569604926066,0.0674828397549503,0.0558723333704504,0.3041765644133397,0.1666847469188077,0.1079636088729894,0.0795279228624968,0.0607425688609767,0.6479394623157597,0.3590964800150337,0.2371397306002448,0.1788000119515514,0.1406123977870417,0.9114441469812672,0.5070264951236712,0.3369635727348015,0.2559904040070541,0.2031994061242246
lookback,100,0.0833333333333333,0.02,3.7369484894224896,0.3166557775666914,0.1803611175470696,0.1249211850649133,0.0998605469797087,0.084627421901046,0.2189082503750883,0.1230997118672376,0.0835397487916931,0.0653293757378072,0.0540646270845005,0.3175804515303497,0.1744218724574553,0.1134553685934119,0.08406439460449,0.0647737862977071,0.6640206834385248,0.3685580433772867,0.244078971090769,0.1847619302564863,0.1461767095742388,0.9302451374010764,0.5181591454775111,0.3452176468671623,0.2631742232803844,0.2100122575533661
lookback,85,0.0833333333333333,0.02,18.837004424263228,0.4131445650854815,0.2354899607724129,0.1632869788970936,0.1306804104501281,0.1108786150834657,0.2497327469027794,0.1405833202199675,0.0955675902381211,0.0748726760410283,0.0620857033620411,0.3284601295143993,0.1807011673277919,0.1179098690413379,0.0877388281945057,0.0680280528504282,0.6770019592338902,0.3761859391646089,0.2496582632308362,0.1895348466568005,0.1505980501317801,0.9453788542091986,0.5271061425052124,0.3518296123325551,0.2688998432467898,0.2153955686844533
lookback,85,0.0833333333333333,0.02,18.94198832977887,0.3147443126111099,0.1792696787546472,0.1241629044091952,0.0992517804483673,0.0841095190059414,0.2144373986830473,0.1205659419827288,0.0817995955006312,0.0639511995837175,0.0529081794029053,0.3375956301558108,0.1859733098405674,0.1216483679982436,0.0908195203614506,0.0707501307067195,0.6878560190060493,0.3825577116599452,0.2543094079568174,0.1935012690586335,0.1542526526297176,0.9580043637332925,0.5345613844367697,0.357325732135254,0.2736415693616673,0.2198261872095435
lookback,95,0.0833333333333333,0.02,8.801998622946996,0.3248055312096089,0.1850143028535508,0.1281563363597126,0.1024565765847645,0.0868362491982705,0.2072387512539276,0.1164887264222324,0.0790007987108778,0.0617355545974852,0.0510508868216331,0.3239650793382427,0.1781068920451903,0.116069755439369,0.0862214719117551,0.066685270378624,0.6716460590216089,0.3730397769586787,0.2473585979290324,0.1875696238127149,0.1487808978577183,0.9391394269503353,0.5234188729082315,0.349106870529099,0.2665450164153191,0.2131858315779609
